2026-07-31 11:16:41,278 | run_eda                   | INFO    |    Fraud in CASH_OUT    : 4,116
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    Fraud in TRANSFER    : 4,097
2026-07-31 11:16:41,279 | run_eda                   | INFO    | 
2026-07-31 11:16:41,279 | run_eda                   | INFO    | 3. AMOUNT DISTRIBUTIONS
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    CASH_IN     : 0.68% of transactions in $8K-$10K structuring band
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    CASH_OUT    : 0.65% of transactions in $8K-$10K structuring band
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    DEBIT       : 4.29% of transactions in $8K-$10K structuring band
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    PAYMENT     : 8.69% of transactions in $8K-$10K structuring band
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    TRANSFER    : 0.24% of transactions in $8K-$10K structuring band
2026-07-31 11:16:41,279 | run_eda                   | INFO    | 
2026-07-31 11:16:41,279 | run_eda                   | INFO    | 4. FAN-OUT (SMURFING SENDERS)
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    Suspicious accounts: 0
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    Of which known fraud: 0
2026-07-31 11:16:41,279 | run_eda                   | INFO    | 
2026-07-31 11:16:41,279 | run_eda                   | INFO    | 5. FAN-IN (COLLECTION POINTS)
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    Suspicious accounts: 0
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    With cash-out:       0
2026-07-31 11:16:41,279 | run_eda                   | INFO    | 
2026-07-31 11:16:41,279 | run_eda                   | INFO    | 6. BALANCE INCONSISTENCIES
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    Originator discrepancies: 81.5%
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    Destination discrepancies: 84.8%
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    Fraud orig disc rate:      43.3%
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    Legit orig disc rate:       81.5%
2026-07-31 11:16:41,279 | run_eda                   | INFO    |    -> Strong signal if fraud has much higher discrepancy rate.
2026-07-31 11:16:41,283 | run_eda                   | INFO    | 
2026-07-31 11:16:41,284 | run_eda                   | INFO    | Results saved to: C:\Users\hardi\aml-creditcard\outputs\eda_results.json
2026-07-31 11:16:41,284 | run_eda                   | INFO    | 
2026-07-31 11:16:41,284 | run_eda                   | INFO    | ======================================================================
2026-07-31 11:16:41,284 | run_eda                   | INFO    | Figures saved to: C:\Users\hardi\aml-creditcard\outputs\figures
2026-07-31 11:16:41,284 | run_eda                   | INFO    | EDA complete! Review the figures and report above.
2026-07-31 11:16:41,284 | run_eda                   | INFO    | ======================================================================
